Zip,Address,List Price,List  Date,Approx Living Area,Approx Total SqFt,Cond,Beds Total,Baths Full,Baths Half,DOM,Close Price,Close Date,SP$/SQFT,Car Storage,Stories,Construction Materials,Foundation,Fencing,Pool Type
70115,3000 Chippewa  St ,"$799,000",05/22/2023,"1,492","1,884",EXCE,3,2,0,4,"$790,000",06/26/2023,$529.49,"One, Carport",1,Wood Siding,Raised,,"Inground, Salt Water"
70118,1938 State  St ,"$2,195,000",10/04/2022,"4,077","4,958",EXCE,4,4,1,239,"$2,150,000",06/30/2023,$527.35,"Three or More, Driveway Only",2,Wood Siding,Raised,,None
70115,3512 Camp  St ,"$949,000",10/17/2022,"1,738","1,892",EXCE,3,2,0,7,"$911,605",12/09/2022,$524.51,"Two, Driveway Only, Off Street Parking",1,Wood Siding,Raised,,"Inground, Salt Water"
70115,1429 Seventh  St ,"$3,450,000",05/07/2023,"6,302","7,302",EXCE,6,4,1,1,"$3,505,000",06/30/2023,$556.17,"Two, Driveway Only",3,"Brick, Stucco, Wood Siding",Raised,,"Heated, Inground"
70115,5531 Laurel  St ,"$1,395,000",08/19/2022,"2,531","3,282",VRGD,3,3,0,14,"$1,325,000",10/03/2022,$523.51,"Two, Carport, Covered",1,"Hardy Plank, Wood Siding",Raised,,Inground
70119,1043 Moss  St ,"$545,000",09/09/2022,978,"1,131",VRGD,2,2,0,10,"$495,000",10/14/2022,$506.13,"Driveway Only, Off Street Parking",1,Wood Siding,Raised,,None
70115,824 Pleasant  St ,"$859,000",09/19/2022,"1,540","1,785",EXCE,2,2,0,44,"$760,000",11/28/2022,$493.51,Two,1,Hardy Plank,Raised,,None
70115,1111 Nashville  Ave ,"$1,785,000",08/23/2022,"3,178","3,320",EXCE,4,4,1,24,"$1,650,000",10/14/2022,$519.19,"Two, Driveway Only",2,"Hardy Plank, Stucco",Slab,,None
70115,5721 St Charles  Ave ,"$1,650,000",08/11/2022,"2,800","3,000",EXCE,4,3,1,39,"$1,600,000",10/14/2022,$571.43,Three or More,2,"Brick, Wood Siding",Slab,,"Heated, Inground"
70115,3031 Coliseum  St ,"$2,250,000",03/13/2023,"3,798","4,655",EXCE,5,3,1,8,"$2,275,000",05/12/2023,$599.00,"One, Driveway Only",3,"Hardy Plank, Wood Siding",Raised,,"Heated, Inground"
70115,4500 Camp  St ,"$1,190,000",04/21/2023,"1,984","3,436",EXCE,4,2,0,4,"$1,060,000",05/31/2023,$534.27,Driveway Only,1,"Hardy Plank, Wood Siding",Raised,,None
70115,4010 Laurel  St ,"$649,900",10/04/2022,"1,033","1,897",EXCE,3,3,0,90,"$630,000",01/31/2023,$609.87,"Two, Garage, Off Street Parking",1,"Hardy Plank, Wood Siding",Raised,,None
70118,333 Audubon  St ,"$1,250,000",12/06/2022,"1,924","2,115",EXCE,2,2,0,36,"$1,222,500",02/14/2023,$635.40,None,1,Wood Siding,Raised,,None
70115,5360 Laurel  St ,"$995,000",08/24/2023,"1,275","1,959",EXCE,3,2,0,6,"$945,000",09/22/2023,$741.18,"Three or More, Driveway Only, Off Street Parking",1,Wood Siding,Raised,Wood,None
